trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.97, 'e': 0.05053938561526797}",20,0,27.488768020805107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.97, 'e': 0.04902320404680993}",35,19,29.219510334982147,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.97, 'e': 0.047552507925405635}",25,5,21.86745123335114,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.97, 'e': 0.04612593268764346}",20,6,19.182807176265715,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.97, 'e': 0.044742154707014155}",30,12,31.34576553973168,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.97, 'e': 0.04339989006580373}",20,14,12.009464881534678,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.97, 'e': 0.04209789336382962}",20,15,11.375254902874078,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.97, 'e': 0.04083495656291473}",20,10,18.93153620645324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.97, 'e': 0.039609907866027284}",30,12,37.93733596712016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.97, 'e': 0.03842161063004647}",25,9,28.438000903028062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.97, 'e': 0.03726896231114507}",30,19,11.587827176582623,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.97, 'e': 0.036150893441810716}",30,13,24.31122057572438,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.97, 'e': 0.0350663666385564}",20,4,27.036173956349554,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.97, 'e': 0.0340143756393997}",25,11,12.436120175773556,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
