trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
280,False,"{'a': 0.005, 'e': 0.24659696394160643}",20,4,26.99168140210663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.005, 'e': 0.24536705645292634}",30,18,9.192185886365934,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.005, 'e': 0.2441432831534371}",20,4,-79.07233508111504,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
283,False,"{'a': 0.005, 'e': 0.24292561344874244}",30,24,12.787828432696625,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.005, 'e': 0.24171401689703645}",20,11,17.154034003681684,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.005, 'e': 0.24050846320834213}",20,8,12.031944613497032,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.005, 'e': 0.23930892224375455}",20,16,7.614742466113403,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.005, 'e': 0.23811536401468703}",20,14,12.15354869504327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.005, 'e': 0.23692775868212176}",25,0,18.560038239023726,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.005, 'e': 0.23574607655586352}",20,3,1.4294986377042578,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
290,False,"{'a': 0.005, 'e': 0.23457028809379765}",25,13,18.67173685969086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.005, 'e': 0.23340036390115132}",30,9,-16.185345642441668,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
292,False,"{'a': 0.005, 'e': 0.23223627472975883}",20,12,4.373267095457939,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.005, 'e': 0.23107799147733019}",20,12,6.654213180462914,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.005, 'e': 0.22992548518672384}",25,8,16.811894241621296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.005, 'e': 0.22877872704522242}",20,6,20.894296014832044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.005, 'e': 0.22763768838381274}",25,17,16.14292658464524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.005, 'e': 0.22650234067646874}",30,0,32.8625473334298,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
298,False,"{'a': 0.005, 'e': 0.22537265553943872}",20,5,10.737302901246316,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.005, 'e': 0.22424860473053532}",25,9,25.049601850674954,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.005, 'e': 0.22313016014842982}",35,26,-3.1251075425126187,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
301,False,"{'a': 0.005, 'e': 0.22201729383194937}",30,22,14.342289556679939,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.005, 'e': 0.2209099779593782}",20,6,27.983164635612823,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.005, 'e': 0.21980818484776168}",25,9,-24.729052539633155,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
304,False,"{'a': 0.005, 'e': 0.21871188695221475}",25,13,14.179273843208993,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.005, 'e': 0.21762105686523284}",30,7,20.47228825973778,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.005, 'e': 0.21653566731600707}",25,17,15.06580507669149,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.005, 'e': 0.21545569116974203}",20,11,15.334558502988799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.005, 'e': 0.21438110142697794}",25,10,4.721555651799786,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.005, 'e': 0.21331187122291523}",30,13,-8.730555408049685,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
310,False,"{'a': 0.005, 'e': 0.21224797382674304}",20,0,17.673065465104877,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
311,False,"{'a': 0.005, 'e': 0.21118938264097117}",30,17,21.29979343936063,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
